
user_id,event_time,event_name,platform
u08051,2025-01-01 00:51:00,app_open,Android
u02263,2025-01-01 01:10:00,app_open,iOS
u02263,2025-01-01 03:10:00,complete_signup,Android
u03048,2025-01-01 04:03:00,app_open,Android
u02210,2025-01-01 04:22:00,app_open,iOS
u08051,2025-01-01 05:51:00,complete_signup,iOS
u09064,2025-01-01 05:56:00,app_open,iOS
u01406,2025-01-01 07:13:00,app_open,Web
u08099,2025-01-01 07:19:00,app_open,Android
u07801,2025-01-01 08:44:00,app_open,iOS
u01406,2025-01-01 10:13:00,complete_signup,iOS
u07095,2025-01-01 11:14:00,app_open,iOS
u08621,2025-01-01 11:15:00,app_open,Android
u07801,2025-01-01 11:44:00,complete_signup,Android
u08051,2025-01-01 12:51:00,link_bank,iOS
u09064,2025-01-01 13:56:00,complete_signup,Android
u05445,2025-01-01 14:14:00,app_open,iOS
u08621,2025-01-01 14:15:00,complete_signup,Android
u00032,2025-01-01 14:20:00,app_open,iOS
u03837,2025-01-01 14:52:00,app_open,iOS
u03048,2025-01-01 15:03:00,complete_signup,Android
u05445,2025-01-01 15:14:00,complete_signup,iOS
u08099,2025-01-01 16:19:00,complete_signup,Android
u04405,2025-01-01 17:33:00,app_open,iOS
u08420,2025-01-01 17:57:00,app_open,iOS
u07756,2025-01-01 18:01:00,app_open,iOS
u04405,2025-01-01 18:33:00,complete_signup,Android
u04882,2025-01-01 19:52:00,app_open,iOS
u07005,2025-01-01 19:54:00,app_open,iOS
u05445,2025-01-01 21:14:00,link_bank,Android
u08389,2025-01-01 22:53:00,app_open,Android
u07777,2025-01-01 23:00:00,app_open,Web
u04882,2025-01-01 23:52:00,complete_signup,iOS
u00032,2025-01-02 00:20:00,complete_signup,Android
u06905,2025-01-02 00:44:00,app_open,Android
u03379,2025-01-02 00:55:00,app_open,Android
u06463,2025-01-02 00:57:00,app_open,Android
u03837,2025-01-02 01:52:00,complete_signup,Web
u01689,2025-01-02 01:54:00,app_open,iOS
