
cohort_week,0,1,2,3,4,5,6,7,8
2024-12-30,1.0,0.8244274809160306,0.7099236641221374,0.5419847328244275,0.44274809160305345,0.366412213740458,0.31297709923664124,0.2595419847328244,0.20610687022900764
2025-01-06,1.0,0.7868020304568528,0.5939086294416244,0.4720812182741117,0.39593908629441626,0.3096446700507614,0.24873096446700507,0.20304568527918782,0.16751269035532995
2025-01-13,1.0,0.8492462311557789,0.6683417085427136,0.5326633165829145,0.44221105527638194,0.35175879396984927,0.3065326633165829,0.22613065326633167,0.18090452261306533
2025-01-20,1.0,0.8402061855670103,0.6494845360824743,0.520618556701031,0.44329896907216493,0.33505154639175255,0.25773195876288657,0.211340206185567,0.18041237113402062
2025-01-27,1.0,0.8097826086956522,0.6413043478260869,0.5217391304347826,0.41847826086956524,0.33152173913043476,0.2717391304347826,0.21195652173913043,0.16847826086956522
2025-02-03,1.0,0.8426966292134831,0.6741573033707865,0.5449438202247191,0.43820224719101125,0.33146067415730335,0.25280898876404495,0.20786516853932585,0.1853932584269663
2025-02-10,1.0,0.8434343434343434,0.6666666666666666,0.5404040404040404,0.41414141414141414,0.3333333333333333,0.26262626262626265,0.19696969696969696,0.14646464646464646
2025-02-17,1.0,0.8700564971751412,0.655367231638418,0.5310734463276836,0.4067796610169492,0.327683615819209,0.24858757062146894,0.20903954802259886,0.1807909604519774
2025-02-24,1.0,0.8541666666666666,0.6822916666666666,0.515625,0.4427083333333333,0.3229166666666667,0.265625,0.19270833333333334,0.13541666666666666
2025-03-03,1.0,0.8571428571428571,0.6632653061224489,0.5102040816326531,0.3877551020408163,0.34183673469387754,0.27040816326530615,0.22448979591836735,0.18877551020408162
2025-03-10,1.0,0.8368421052631579,0.6473684210526316,0.5578947368421052,0.4789473684210526,0.41578947368421054,0.34210526315789475,0.25263157894736843,0.21052631578947367
2025-03-17,1.0,0.8404255319148937,0.6702127659574468,0.5319148936170213,0.425531914893617,0.2925531914893617,0.24468085106382978,0.19148936170212766,0.16489361702127658
2025-03-24,1.0,0.8421052631578947,0.6889952153110048,0.5406698564593302,0.4354066985645933,0.3349282296650718,0.2583732057416268,0.20574162679425836,0.15311004784688995
2025-03-31,1.0,0.7828054298642534,0.6063348416289592,0.47058823529411764,0.3891402714932127,0.3076923076923077,0.2398190045248869,0.16289592760180996,0.11764705882352941
